# Catalogo degli aeroporti: da codice IATA/ICAO a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aeroporti.csv, che vince sempre su questo.
#
# Fonte: OurAirports (pubblico dominio). Scali, non eliporti.
# 18361 voci.
AAA/NTGA,Anaa,Anaa Airport
SWYM,Conquista d'Oeste,Conquista d'Oeste Fazenda Anhanguera Airport
SWYO,Adamantina,Adamantina Usina Branco Peres Airport
SWYP,Nova Mutum,Nova Mutum Fazenda Ribeiro do Céu Airport
SWYR,Jauru,Jauru Fazenda Nossa Senhora do Pillar Airport
SWYS,Frutal,Frutal Usina Cerradão Airport
SWYU,Aruanã,Aruanã Fazenda Entre Rios Airport
SWYV,Ibirá,Clube Aerodesportivo de Ibirá Airport
SWYW,Alto Garças,Alto Garças Fazenda Adriana Airport
SWYY,Nova Xavantina,Fazenda Nova Viena Airport
SWZA,Juara,Juara Agrosan Airport
SWZB,Barão de Melgaço,Barão de Melgaço Fazenda Arara Azul Airport
SWZC,Porto Esperidião,Porto Esperidião Fazenda Corixo Airport
SWZD,Jandaia,Jandaia Fazenda Denusa Destilaria Nova União Airport
SWZE,Pontes E Lacerda,Pontes E Lacerda Fazenda Tamboril Airport
SWZG,Porto Esperidião,Porto Esperidião Fazenda Lagoa Encantada Airport
SWZN,Acreúna,Acreúna Fazenda Francês Airport
SWZO,Campo Verde,Campo Verde Fazenda Lagoa Funda Airport
SWZP,São José do Povo,São José do Povo Fazenda Vale Rico Airport
SWZQ,Jussara,Fazenda Jussara Airport
SWZS,Cáceres,Cáceres Fazenda Nova Larga Airport
SWZT,Paraopeba,Paraopeba Fazenda do Brejo Airport
SWZY,Brasnorte,Brasnorte Fazenda Sete Estrelas Airport
SXA/AYQS,Sialum,Sialum Airport
SXB/LFST,Strasbourg,Strasbourg Airport
SXE/YWSL,Sale,West Sale Airport
SXG/FLSN,Senanga,Senanga Airport
SXH/AYSL,Sehulea,Sehulea Airport
SXI/OIBS,Siri,Siri Airport
SXJ/ZWSS,Shanshan,Shanshan Airport
SXK/WAPS,Saumlaki-Yamdena,Saumlaki-Yamdena Island Mathilda Batlayeri Airport
SXL/EISG,Sligo,Sligo Airport
SXM/TNCM,Sint Maarten,Sint Maarten Princess Juliana International Airport
SXN/FBSN,Sowa,Sowa Sua Pan Airport
SXO/SWFX,São Félix Do,São Félix do Araguaia Airport
SXP,Nunam Iqua,Nunam Iqua Airport
SXQ/PASX,Soldotna,Soldotna Airport
SXR/VISR,Srinagar,Srinagar International Airport
SXS/WBKH,Sahabat,Sahabat [Sahabat 16] Airport
SXT/WMAN,Taman Negara,Taman Negara Sungai Tiang Airport
SXU/HASD,Soddu,Soddu Airport
SXV/VOSM,Salem,Salem Airport
SXW/AYSV,Sauren,Sauren Airport
SXX/SNFX,São Félix do Xingu,São Félix do Xingu Airport
SXY,Sidney,Sidney Municipal Airport
SXZ/LTCL,Siirt,Siirt Airport
SYA/PASY,Shemya,Shemya Eareckson Air Station
SYAG,Anna Regina,Anna Regina Airport
SYAL,Albion,Albion Airport
SYAP,Apoteri,Apoteri Airport
SYAW,Awaruwaunau,Awaruwaunau Airport
SYBG,Banagara Island,Banagara Island Baganara Airport.
SYBL,Blairmont,Blairmont Airport
SYBS,Bath Settlement,Bath Settlement Fort Wellington Airport
SYC/SPSY,Shiringayoc,Shiringayoc Airport
SYCP,Cipo Airstrip,Cipo Airstrip
SYD/YSSY,Sydney (Mascot),Sydney Kingsford Smith International Airport
SYDW,Dadanawa,Dadanawa Airport
SYE/OYSH,Sa'dah,Sa'dah Sadah Airport
SYEB,Ebini,Ebini Airport
SYEK,Ekereku Bottom,Ekereku Bottom Airport
SYH/VNSB,Namche Bazaar,Namche Bazaar Syangboche Airport
SYHC,Anna Regina,Anna Regina Krishna Sankar Airport
SYI/KSYI,Shelbyville,Bomar Field / Shelbyville Municipal Airport
SYJ/OIKY,Sirjan,Sirjan Airport
SYK/BIST,Stykkishólmur,Stykkishólmur Airport
SYKE,Kwebana,Kwebana Airport
SYKI,Kaow Island,Kaow Island Airport
SYKK,Kurukabaru,Kurukabaru Airport
SYKN,Kaikan,Kaikan Airport
SYKW,Kwakwani,Kwakwani Airport
SYLD,Linden,Linden Airport
SYM/ZPSM,Pu'er,Pu'er Simao Airport
SYMN,Manari,Manari Airport
SYMP,Mountain Point,Mountain Point Airport
SYMW,Marurawana,Marurawana Airport
SYN/KSYN,Dennison,Dennison Stanton Airfield
SYO/RJSY,Shonai,Shonai Airport
SYP/MPSA,Santiago,Santiago Ruben Cantu Airport
SYQ/MRPV,San Jose,San Jose Tobías Bolaños International Airport
SYR/KSYR,Syracuse,Syracuse Hancock International Airport
SYS/UERS,Saskylakh,Saskylakh Airport
SYT/LFLN,L'Hôpital-le-Mercie,"L'Hôpital-le-Mercier, Saône-et-Loire Saint-Yan Airport"
SYTW,Tassawani,Tassawani Airport
SYU/YWBS,Sue Islet,Sue Islet Warraber Island Airport
SYV/KSYV,Sylvester,Sylvester Airport
SYVB,Von Better,Von Better Airport
SYW/OPSN,Sehwan Sharif,Sehwan Sharif Airport
SYWI,Wichabai,Wichabai Airport
SYX/ZJSY,Sanya (Tianya),Sanya Phoenix International Airport
SYY/EGPO,"Stornoway, Western",Stornoway Airport
SYYS,Yakishuru,Yakishuru Airport
SYZ/OISS,Shiraz,Shiraz Shahid Dastghaib International Airport
SZA/FNSO,Soyo,Soyo Airport
SZB/WMSA,Subang,Subang Sultan Abdul Aziz Shah International Airport
SZE/HASM,Semera,Semera Airport
SZF/LTFH,Samsun,Samsun-Çarşamba Airport
SZG/LOWS,Salzburg,Salzburg Airport
SZH/ZBSG,Shuozhou,Shuozhou Zirun Airport
SZI/UASZ,Zaysan,Zaysan Airport
SZJ/MUSN,Isla de la Juventud,Isla de la Juventud Siguanea Airport
SZK/FASZ,Skukuza,Skukuza Airport
SZL/KSZL,Knob Noster,Knob Noster Whiteman Air Force Base
SZM/FYSS,Sesriem,Sesriem Airport
SZN/KSZN,Santa Cruz Island,Santa Cruz Island Airport
SZP/KSZP,Santa Paula,Santa Paula Airport
SZS/NZRC,Oban,Oban Ryan's Creek Aerodrome
SZV/ZSSZ,Suzhou,Suzhou Guangfu Airport
SZX/ZGSZ,Shenzhen,Shenzhen Bao'an International Airport
SZY/EPSY,Szymany,Szymany Olsztyn-Mazury Airport
SZZ/EPSC,Szczecin(Glewice),Solidarity Szczecin–Goleniów Airport
TAB/TTCP,Scarborough,Scarborough A.N.R. Robinson International Airport
TAC/RPVA,Tacloban City,Tacloban City Daniel Z. Romualdez Airport
TAD/KTAD,Trinidad,Trinidad Perry Stokes Airport
TAE/RKTN,Daegu,Daegu International Airport
TAF/DAOL,Tafraoui,Oran Tafraoui Airport
TAG/RPSP,Panglao,Bohol-Panglao International Airport
TAH/NVVW,Tanna Island,Tanna Island Whitegrass Airport
TAI/OYTZ,Taiz,Taiz International Airport
TAJ,Aitape,Aitape Tadji Airport
TAK/RJOT,Takamatsu,Takamatsu Airport
TAL/PATA,Tanana,Tanana Ralph M Calhoun Memorial Airport
TAM/MMTM,Ciudad Madero,Ciudad Madero General Francisco Javier Mina International Airport
TAN/YTGA,Tangalooma,Tangalooma Airport
TAO/ZSQD,Qingdao (Jiaozhou),Qingdao Jiaodong International Airport
TAP/MMTP,Tapachula,Tapachula International Airport
TAPT,Coco Point,Coco Point Lodge Airstrip
TAQ/YTAR,Tarcoola,Tarcoola Airport
TAR/LIBG,Grottaglie,Taranto-Grottaglie Marcello Arlotta Airport
TAS/UZTT,Tashkent,Tashkent International Airport
TAT/LZTT,Poprad,Poprad-Tatry Airport
TAU/SKTA,Tauramena,Tauramena Airport
TAW/SUTB,Tacuarembo,Tacuarembo Airport
TAX/WAPT,Tikong-Taliabu,Taliabu Island Airport
TAY/EETU,Tartu,Tartu Airport
TAZ/UTAT,Daşoguz,Daşoguz Dashoguz International Airport
TBB/VVTH,Tuy Hoa,Tuy Hoa Dong Tac Airport
TBC,Tuba City,Tuba City Airport
TBD/SKMB,Timbiqui,Timbiqui Airport
TBE/AYTV,Timbunke,Timbunke Airport
TBF/NGTE,Tabiteuea North,Tabiteuea North Airport
TBG/AYTB,Tabubil,Tabubil Airport
TBH/RPVU,Tablas Island,Tablas Island Tugdan Airport
TBI/MYCB,Cat Island,Cat Island New Bight Airport
TBJ/DTKA,Tabarka,Tabarka-Aïn Draham International Airport
TBK/YTBR,Timber Creek,Timber Creek Airport
TBL/YTAB,Tableland Homestead,Tableland Homestead Airport
TBM/WAGT,Tumbang Samba-Borne,Tumbang Samba Airport
TBN/KTBN,Fort Leonard Wood,Fort Leonard Wood Waynesville-St. Robert Regional Airport-Forney Field
TBO/HTTB,Tabora,Tabora Airport
TBP/SPME,Tumbes,Tumbes Captain Pedro Canga Rodríguez International Airport
TBQ/AYTR,Tarabo,Tarabo Airport
TBR/KTBR,Statesboro,Statesboro Bulloch County Airport
TBS/UGTB,Tbilisi,Tbilisi International Airport
TBT/SBTT,Tabatinga,Tabatinga International Airport
TBU/NFTF,Nuku'alofa,Nuku'alofa Fua'amotu International Airport
TBV,Tabal Island,Tabal Airstrip
TBW/UUOT,Tambov,Tambov Donskoye Airport
TBX/WIDB,Tambelan,Tambelan Airport
TBY/FBTS,Tshabong,Tshabong Airport
TBZ/OITT,Tabriz,Tabriz International Airport
TCA/YTNK,Tennant Creek,Tennant Creek Airport
TCB/MYAT,Treasure Cay,Treasure Cay Airport
TCC/KTCC,Tucumcari,Tucumcari Municipal Airport
TCD/SKRA,Tarapacá,Tarapacá Airport
TCE/LRTC,Mihail Kogălniceanu,Mihail Kogălniceanu Tulcea Danube Delta Airport
TCF/MHTO,Tocoa,Tocoa Airport
TCG/ZWTC,Tacheng,Tacheng Qianquan Airport
TCH/FOOT,Tchibanga,Tchibanga Airport
TCJ/AYVM,Torembi,Torembi Airport
TCK/AYYL,Tinboli,Tinboli Airport
TCL/KTCL,Tuscaloosa,Tuscaloosa National Airport
TCM/KTCM,Tacoma,Tacoma McChord Air Force Base
TCN/MMHC,Tehuacán,Tehuacán National Airport
TCO/SKCO,Tumaco,Tumaco La Florida Airport
TCP/HETB,Taba,Taba International Airport
TCQ/SPTN,Tacna,Tacna Coronel FAP Carlos Ciriani Santa Rosa International Airport
TCR/VOTK,Vagaikulam,Vagaikulam Tuticorin Airport
TCS/KTCS,Truth or Consequenc,Truth or Consequences Municipal Airport
TCT/PPCT,Takotna,Takotna Airport
TCU/FATN,Homeward,Homeward Thaba Nchu Tar Airport
TCW/YTOC,Tocumwal,Tocumwal Airport
TCX/OIMT,Tabas,Tabas Airport
TCY/FYTE,Terrace Bay,Terrace Bay Airport
TCYT,Crystal Brook,Crystal Brook Airport
TCZ/ZPTC,Baoshan (Tengchong),Tengchong Tuofeng Airport
TDA/SKTD,Trinidad,Trinidad Airport
TDB/AYTF,Tetebedi,Tetebedi Airport
TDD/SLTR,Trinidad,Trinidad Teniente Av. Jorge Henrich Arauz Airport
TDG/RPMW,Tandag,Tandag Airport
TDJ/HDTJ,Tadjoura,Tadjoura Airport
TDK/UAAT,Taldykorgan,Taldykorgan Airport
TDL/SAZT,Tandil,Tandil Héroes de Malvinas Airport
TDN/YTHD,Drysdale River,Drysdale River Theda Station Airport
TDO/KTDO,Toledo,Toledo Ed Carlson Memorial Field South Lewis County Airport
TDP/SPDR,Corrientes,Corrientes Trompeteros Airport
TDR/YTDR,Theodore,Theodore Airport
TDS/AYSS,Sasereme,Sasereme Airport
TDT,Timbavati,Timbavati Tanda Tula Airport
TDV/FMSN,Tanandava,Tanandava Samangoky Airport
TDW/KTDW,Amarillo,Amarillo Tradewind Airport
TDX/VTBO,Laem Ngop,Laem Ngop Trat Airport
TDZ/KTDZ,Toledo,Toledo Executive Airport
TEA/MHTE,Tela,Tela Airport
TEB/KTEB,Teterboro,Teterboro Airport
TEC/SBTL,Telêmaco Borba,Telêmaco Borba Airport
TED/EKTS,Thisted,Thisted Airport
TEE/DABS,Tébessi,Cheikh Larbi Tébessi Airport
TEF/YTEF,Telfer,Telfer Airport
TEG/DFET,Tenkodogo,Tenkodogo Airport
TEH,Tetlin,Tetlin Airport
TEI/VETJ,Tezu,Tezu Airport
TEK/PAKA,Tatitlek,Tatitlek Airport
TEL/WBKE,Telupid,Telupid Airport
TEM/YTEM,Temora,Temora Airport
TEN/ZUTR,Tongren (Daxing),Tongren Fenghuang Airport
TEO/AYTY,Terapo Mission,Terapo Airport
TEP/AYTP,Teptep,Teptep Tep Tep Airport
TEQ/LTBU,Çorlu,Tekirdağ Çorlu Airport
TER/LPLA,Praia da Vitória,Praia da Vitória Lajes Airport
TES/HHTS,Tessenei,Tessenei Airport
TET/FQTT,Tete,Tete Airport
TEU/NZMO,Manapouri,Manapouri Airport
TEV/LETL,Teruel,Teruel Airport
TEX/KTEX,Telluride,Telluride Regional Airport
TEY/BITE,Þingeyri,Þingeyri Airport
TEZ/VETZ,Tezpur,Tezpur Airport
TFB/AYTH,Tifalmin,Tifalmin Airport
TFF/SBTF,Tefé,Tefé Airport
TFI/AYTU,Tufi,Tufi Airport
TFL/SNTO,Teófilo Otoni,Teófilo Otoni Juscelino Kubitscheck Airport
TFM/AYTE,Telefomin,Telefomin Airport
TFN/GCXO,Tenerife,Tenerife Norte-Ciudad de La Laguna Airport
TFS/GCTS,Tenerife,Tenerife Sur Airport
TFT/OPTT,Taftan,Taftan Airport
TFU/ZUTF,Chengdu (Jianyang),Chengdu Tianfu International Airport
TFY/WILP,Krui,Krui Muhammad Taufiq Kiemas Airport
TGA/WSAT,Western Water,Western Water Catchment Tengah Air Base
TGB,Rizal,Rizal Tagbita Airstrip
TGC/WBTM,Belawai,Belawai Tanjung Manis Airport
TGD/LYPG,Podgorica,Podgorica Airport / Podgorica Golubovci Airbase
TGG/WMKN,Kuala Terengganu,Kuala Terengganu Sultan Mahmud Airport
TGH/NVST,Tongoa Island,Tongoa Airport
TGI/SPGM,Tingo Maria,Tingo Maria Airport
TGJ/NWWA,Tiga,Tiga Airport
TGK/URRT,Taganrog,Taganrog Yuzhny Airport
TGL/AYTG,Sudest Island,Sudest Island Tagula Airport
TGM/LRTM,Recea,Recea Târgu Mureş Transilvania International Airport
TGN/YLTV,Morwell,Morwell Latrobe Valley Airport
TGO/ZBTL,Tongliao,Tongliao Airport
TGP/UNIP,Bor,Bor Podkamennaya Tunguska Airport
TGQ/SWTS,Tangará da Serra,Tangará da Serra Airport
TGR/DAUK,Touggourt,Touggourt Sidi Madhi Airport
TGS,Chokwé,Chokwé Airport
TGT/HTTG,Tanga,Tanga Airport
TGU/MHTG,Tegucigalpa,Tegucigalpa Toncontín Airport
TGZ/MMTG,Tuxtla Gutiérrez,Tuxtla Gutiérrez Angel Albino Corzo International Airport
THA/KTHA,Tullahoma,Tullahoma Regional Airport William Northern Field
THB/FXTA,Thaba-Tseka,Thaba-Tseka Airport
THC/GLTN,Zwedru,Zwedru Tchien Airport
THD/VVTX,Thanh Hóa,Thanh Hóa Tho Xuan Airport
THE/SBTE,Teresina,Teresina Senador Petrônio Portela Airport
THG/YTNG,Biloela,Biloela Thangool Airport
THI/GQNC,Tichitt,Tichitt Airport
THK/VLTK,Thakhek,Thakhek Airport
THL/VYTL,Tachileik,Tachileik Airport
THM/KTHM,Thompson Falls,Thompson Falls Airport
THN/ESGT,Trollhättan,Trollhättan-Vänersborg Airport
THO/BITN,Þórshöfn,Þórshöfn Airport
THP/KHSG,Thermopolis,Thermopolis Hot Springs County Airport
THQ/ZLTS,Tianshui (Maiji),Tianshui Maijishan Airport
THR/OIII,Tehran,Tehran Mehrabad International Airport
THS/VTPO,Sukhothai,Sukhothai Airport
THT/GQNT,Tamchakett,Tamchakett Airport
THU/BGTL,Pituffik,Pituffik Space Base
THV/KTHV,Thomasville,Thomasville York Airport
THX/UOTT,Turukhansk,Turukhansk Airport
THY/FATH,Thohoyandou,Thohoyandou Airport
THZ/DRRT,Tahoua,Tahoua Airport
TIA/LATI,Rinas,Rinas Tirana International Airport Mother Teresa
TIB/SKTB,Tibú,Tibú Airport
TIC,Arno Atoll,Arno Atoll Tinak Airport
TID/DAOB,Tiaret,Tiaret Abdelhafid Boussouf Bou Chekif Airport
TIE/HATP,Tippi,Tippi Airport
TIF/OETF,Taif,Taif International Airport
TIH/NTGC,Tuherahera,Tuherahera Tikehau Airport
TII/OATN,Tarinkot,Tarinkot Airport
TIJ/MMTJ,Tijuana,Tijuana General Abelardo L. Rodriguez International Airport
TIK/KTIK,Oklahoma City,Oklahoma City Tinker Air Force Base
TIL,Cheadle,Cheadle Airport
TIM/WAYY,Timika,Timika Mozes Kilangin Airport
TIN/DAOF,Tindouf,Tindouf Airport
TIO/VYHN,Tilin,Tilin Airport
TIQ/PGWT,Tinian Island,Francisco Manglona Borja / Tinian International Airport
TIR/VOTP,Tirupati,Tirupati International Airport
TIU/NZTU,Timaru,Timaru Airport
TIV/LYTV,Tivat,Tivat Airport
TIW/KTIW,Tacoma,Tacoma Narrows Airport
TIX/KTIX,Titusville,Titusville Space Coast Regional Airport
TIY/GQND,Tidjikja,Tidjikja Airport
TIZ/AYTA,Tari,Tari Airport
TJA/SLTJ,Tarija,Tarija Capitan Oriel Lea Plaza Airport
TJB/WIBT,Tanjung Balai-Karin,Tanjung Balai-Karinmunbesar Island Raja Haji Abdullah Airport
TJC,Ticantiquí,Ticantiquí Airport
TJG/WAON,Tanta-Tabalong,Tanta-Tabalong Warukin Airport
TJH/RJBT,Toyooka,Toyooka Konotori Tajima Airport
TJI/MHTJ,Trujillo,Trujillo Airport
TJK/LTAW,Tokat,Tokat Airport
TJL/SBTG,Três Lagoas,Três Lagoas Plínio Alarcom Airport
TJM/USTR,Tyumen,Tyumen Roshchino International Airport
TJN/NTKM,Takume,Takume Airport
TJQ/WIKT,Tanjung Pandan,Tanjung Pandan H A S Hanandjoeddin International Airport
TJS/WAGD,Tanjung Selor-Borne,Tanjung Harapan Airport
TJU/UTDK,Kulob,Kulob International Airport
TJV/VOTJ,Thanjavur,Thanjavur Air Force Station
TKA/PATK,Talkeetna,Talkeetna Airport
TKB/AYTZ,Tekadu,Tekadu Airport
TKC/FKKC,Tiko,Tiko Airport
TKD/DGTK,Sekondi-Takoradi,Takoradi Airport
TKF/KTRK,Truckee,Truckee Tahoe Airport
TKG/WILL,Bandar Lampung,Bandar Lampung Radin Inten II International Airport
TKH/VTPI,Takhli,Takhli Royal Thai Air Force Base
TKJ/PFTO,Tok,Tok Junction Airport
TKK/PTKK,Weno Island,Weno Island Chuuk International Airport
TKM,Taksimo,Taksimo Airport
TKN/RJKN,Amagi,Amagi Tokunoshima Airport
TKO/FXTK,Tlokoeng,Tlokoeng Airport
TKP/NTGT,Takapoto,Takapoto Airport
TKQ/HTKA,Kigoma,Kigoma Airport
TKR/VGSG,Thakurgaon,Thakurgaon Airport
TKS/RJOS,Tokushima,Tokushima Awaodori Airport / JMSDF Tokushima Air Base
TKT/VTPT,Tak,Tak Airport
TKU/EFTU,Turku,Turku Airport
TKV/NTGO,Tatakoto,Tatakoto Airport
TKW/AYTN,Tekin,Tekin Airport
TKX/NTKR,Takaroa,Takaroa Airport
TKY/YTKY,Turkey Creek,Turkey Creek Airport
TKZ/NZTO,Tokoroa,Tokoroa Airfield
TLA/PATE,Teller,Teller Airport
TLB/OPTA,Tarbela,Tarbela Dam Airport
TLC/MMTO,Toluca,Toluca Adolfo López Mateos International Airport
TLD/FBTL,Tuli Lodge,Tuli Lodge Airport
TLE/FMST,Toliara,Toliara Airport
TLF,Telida,Telida Airport
TLH/KTLH,Tallahassee,Tallahassee International Airport
TLI/WAFL,Toli Toli-Celebes,Toli Toli-Celebes Island Sultan Bantilan Airport
TLJ/PATL,Takotna,Takotna Tatalina LRRS Airport
TLK/UECT,Talakan Oil Field,Talakan Airport
TLL/EETN,Tallinn,Lennart Meri Tallinn Airport
TLM/DAON,Zenata,Zenata – Messali El Hadj Airport
TLN/LFTH,"Hyères, Var",Toulon-Hyères Airport
TLO/AYXO,Tol,Tol Airport
TLP/AYQL,Tumolbil,Tumolbil Airport
TLQ/ZWTL,Turpan,Turpan Jiaohe Airport
TLR/KTLR,Tulare,Tulare Mefford Field
TLS/LFBO,Toulouse/Blagnac,Toulouse-Blagnac Airport
TLT,Tuluksak,Tuluksak Airport
TLU/SKTL,Santiago de Tolú,Golfo de Morrosquillo Airport
TLV/LLBG,Tel Aviv,Tel Aviv Ben Gurion International Airport
TLW/AYVL,Talasea,Talasea Airport
TLX/SCTL,Talca,Talca Panguilemo Airport
TLY/UHWP,Plastun,Plastun Airport
TLZ/SWKT,Catalão,Catalão Airport
TMA/KTMA,Tifton,Tifton Henry Tift Myers Airport
TMB/KTMB,Miami,Miami Executive Airport
TMC/WATK,Radamata,Radamata Tambolaka Airport
TMD/GQNH,Timbedra,Timbedra Airport
TME/SKTM,Tame,Tame Gustavo Vargas Airport
TMF/VRNT,Thimarafushi,Thimarafushi Airport
TMG/WBKM,Tomanggong,Tomanggong Airport
TMH/WAKT,Tanah Merah,Tanah Merah Airport
TMI/VNTR,Tumling Tar,Tumling Tar Airport
TMJ/UZST,Termez,Termez Airport
TML/DGLE,Tamale,Tamale Yakubu Tali International Airport
TMM/FMMT,Toamasina,Toamasina Ambalamanasy Airport
TMN/NGTM,Tamana Island,Tamana Island Airport
TMO/SVTM,Tumeremo,Tumeremo Airport
TMP/EFTP,Tampere / Pirkkala,Tampere-Pirkkala Airport
TMQ/DFEM,Tambao,Tambao Airport
TMR/DAAT,Tamanrasset,Tamanrasset Aguenar – Hadj Bey Akhamok Airport
TMS/FPST,São Tomé,São Tomé International Airport
TMT/SBTB,Oriximiná,Oriximiná Trombetas Airport
TMU/MRTR,Nicoya,Nicoya Tambor Airport
TMW/YSTW,Tamworth,Tamworth Airport
TMX/DAUT,Timimoun,Timimoun Airport
TMY,Tiom-Papua Island,Tiom Airport
TMZ/NZTH,Thames,Thames Aerodrome
TNA/ZSJN,Jinan (Licheng),Jinan Yaoqiang International Airport
TNB/WRLH,Tanah Grogot,Tanah Grogot Airport
TNC/PATC,Tin City,Tin City Long Range Radar Station Airport
TND/MUTD,Trinidad,Trinidad Alberto Delgado Airport
TNE/RJFG,Tanegashima,New Tanegashima Airport
TNF/LFPN,Toussus-le-Noble,Toussus-le-Noble Airport
TNG/GMTT,Tangier,Tangier Ibn Battuta Airport
TNH/ZYTN,Tonghua,Tonghua Sanyuanpu Airport
TNI/VIST,Satna,Satna Airport
TNJ/WIDN,Tanjung Pinang-Bint,Tanjung Pinang-Bintan Island Raja Haji Fisabilillah International Airport
TNK,Tununak,Tununak Airport
TNL/UKLT,Ternopil,Ternopil International Airport
TNM/SCRM,Villa Las Estrellas,Villa Las Estrellas Teniente Rodolfo Marsh Martin Airport
TNN/RCNN,Tainan (Rende),Tainan International Airport / Tainan Air Base
TNO/MRTM,Tamarindo,Tamarindo Airport
TNP/KTNP,Twentynine Palms,Twentynine Palms Airport
TNQ/PLWN,Teraina,Teraina Washington Island Airstrip
TNR/FMMI,Antananarivo,Antananarivo Ivato International Airport
TNS,Tungsten,Tungsten (Cantung) Airport
TNT/KTNT,Miami,Miami Dade Collier Training and Transition Airport
TNU/KTNU,Newton,Newton Municipal Airport
TNV/PLFA,Tabuaeran Island,Tabuaeran Island Airport
TNW/SEJD,Ahuano,Ahuano Jumandy Airport
TNZ/ZMTL,Tosontsengel,Tosontsengel Airport
TOA/KTOA,Torrance,Torrance Zamperini Field
TOB/HLTQ,Adam,Adam Tobruk International Airport
TOC/KTOC,Toccoa,Toccoa Airport - R.G. Letourneau Field
TOD/WMBT,Tioman Island,Tioman Airport
TOE/DTTZ,Tozeur,Tozeur Nefta International Airport
TOF/UNTT,Tomsk,Tomsk Kamov Airport
TOG/PATG,Togiak Village,Togiak Airport
TOH/NVSD,Loh/Linua,Loh/Linua Torres Airstrip
TOI/KTOI,Troy,Troy Municipal Airport at N Kenneth Campbell Field
TOJ/LETO,Madrid,Madrid–Torrejón Airport / Torrejón Air Base
TOK,Torokina,Torokina Airport
TOL/KTOL,Toledo,Eugene F. Kranz Toledo Express Airport
TOM/GATB,Timbuktu,Timbuktu Tombouktou Airport
TON/AYVO,Tonu,Tonu Airport
TOO/MRSV,Coto Brus,Coto Brus San Vito de Java Airport
TOP/KTOP,Topeka,Topeka Philip Billard Municipal Airport
TOQ/SCBE,Tocopilla,Tocopilla Barriles Airport
TOR/KTOR,Torrington,Torrington Municipal Airport
TOS/ENTC,Tromsø,Tromsø Airport
TOT/SMCO,Totness,Totness Airport
TOU/NWWU,Touho,Touho Airport
TOW/SBTD,Toledo,Toledo - Luiz Dalcanale Filho Municipal Airport
TOX/USTO,Tobolsk,Tobolsk Airport
TOY/RJNT,Toyama,Toyama Kitokito Airport
TOZ/DITM,Touba,Touba Mahana Airport
TPA/KTPA,Tampa,Tampa International Airport
TPC/SETR,Tarapoa,Tarapoa Airport
TPE/RCTP,Taoyuan,Taiwan Taoyuan International Airport
TPF/KTPF,Tampa,Tampa Peter O Knight Airport
TPG/WMBI,Taiping,Taiping (Tekah) Airport
TPH/KTPH,Tonopah,Tonopah Airport
TPI/AYTI,Tapini,Tapini Airport
TPJ/VNTJ,Taplejung,Taplejung Airport
TPK/WITA,Tapaktuan,Tapaktuan Teuku Cut Ali Airport
TPL/KTPL,Temple,Temple Draughon Miller Central Texas Regional Airport
TPN/SETI,Tiputini,Tiputini Airport
TPP/SPST,Tarapoto,Tarapoto Cadete FAP Guillermo Del Castillo Paredes Airport
TPQ/MMEP,Tepic,Tepic Amado Nervo National Airport
TPR/YTMP,Tom Price,Tom Price Airport
TPS/LICT,Trapani (TP),Vincenzo Florio Airport Trapani-Birgi
TPT,Tapeta,Tapeta Airport
TPU/VNTP,Tikapur,Tikapur Airport
TPX/NTTU,Tupai Atoll,Tupai Airport
TQD/ORAT,Al Habbaniyah,Al Taqaddum Air Base
TQL/USDS,Tarko-Sale,Tarko-Sale Airport
TQN/OATQ,Taleqan,Taleqan Airport
TQO/MMTL,Tulum,Felipe Carrillo Puerto International Airport Tulum
TQP/YTEE,Trepell,Trepell Airport
TQQ/WAWC,Waha-Tomea Island,Waha-Tomea Island Maranggo Airport
TQS/SKTQ,Tres Esquinas,Tres Esquinas Captain Ernesto Esguerra Cubides Air Base
TRA/RORT,Tarama,Tarama Airport
TRC/MMTC,Torreón,Torreón Francisco Sarabia Tinoco International Airport
TRD/ENVA,Trondheim,"Trondheim Airport, Værnes"
TRE/EGPU,"Balemartine, Argyll","Balemartine, Argyll and Bute Tiree Airport"
TRF/ENTO,Sandefjord(Torp),"Sandefjord Airport, Torp"
TRG/NZTG,Tauranga,Tauranga Airport
TRH,Trona,Trona Airport
TRI/KTRI,Blountville,Blountville Tri-Cities Regional TN/VA Airport
TRJ/AYTT,Tarakbits,Tarakbits Airport
TRK/WAQQ,Tarakan,Tarakan Juwata International Airport / Suharnoko Harbani AFB
TRL/KTRL,Terrell,Terrell Municipal Airport
TRM/KTRM,Palm Springs,Palm Springs Jacqueline Cochran Regional Airport
TRN/LIMF,Caselle Torinese,Caselle Torinese (TO) Turin Airport
TRO/YTRE,Taree,Taree Airport
TRQ/SBTK,Tarauacá,Tarauacá Airport
TRR/VCCT,Trincomalee,Trincomalee China Bay Airport
TRS/LIPQ,Ronchi dei Legionar,Trieste Airport
TRT/WAFB,Toraja,Toraja Airport
TRU/SPRU,Trujillo,Trujillo Capitán FAP Carlos Martínez de Pinillos International Airport
